"dataownercode","userstopcode","timingpointname"
"ARR","29219990","Nes, dummystop tbv PI"
"ARR","50009550","Utrecht, Dummyhalte"
"ARR","50009560","Utrecht, Dummyhalte"
"ARR","51229990","Nieuwegein, Dummy A2"
"ARR","51229991","Nieuwegein, Dummy A2"
"ARR","51449998","Lexmond, Dummy A27"
"ARR","51449999","Lexmond, Dummy A27"
"ARR","66467999","Aachen, DUMMY tbv Lijnfilm lijn 350"
"QBUZZ","10006410","DUMMY Groningen, v. K. Verschuurbrug"
"QBUZZ","10006411","DUMMY Groningen, v. K. Verschuurbrug"
"QBUZZ","10006417","DUMMY Groningen, v. K. Verschuurbrug"
"QBUZZ","12004710","DUMMY Haren, P+R Haren A28"
"QBUZZ","12004712","DUMMY Haren, P+R Haren A28"
"QBUZZ","12004730","DUMMY Haren, P+R Haren A28"
"QBUZZ","12004737","DUMMY Haren, P+R Haren A28"
"QBUZZ","13061420","Dummy Wagenborgen, Groot Bronswijk"
"QBUZZ","13069420","Dummy Wagenborgen, Groot Bronswijk"
"QBUZZ","14315810","DUMMY Leek, P+R Leek A7"
"QBUZZ","14315811","DUMMY Leek, P+R Leek A7"
"QBUZZ","14315817","DUMMY Leek, P+R Leek A7"
"QBUZZ","15070175","DUMMY-eind Westerbork, Oosteinde"
"QBUZZ","16000041","DUMMY Donderdag, Meppeldag"
"QBUZZ","16000601","DUMMY Donderdag, Meppeldag"
"QBUZZ","21707687","DUMMY Drachten, Transferium Oost"
"QBUZZ","23591901","DUMMY Sneek, Tinga"
"QBUZZ","50000034","BRUGDUMMY Utrecht, David van Mollembrug"
"QBUZZ","50000189","DUMMYHALTE Utrecht, ."
"QBUZZ","50000670","BRUGDUMMY Utrecht, David van Mollembrug"
"QBUZZ","50001111","BRUGDUMMY Utrecht, Rode Brug"
"QBUZZ","50001461","DUMMYHALTE Utrecht, ."
"QBUZZ","50002040","BRUGDUMMY Utrecht, Rode Brug"
"QBUZZ","50002190","BRUGDUMMY Utrecht, Vondelbrug"
"QBUZZ","50005000","BRUGDUMMY Utrecht, Vondelbrug"
"QBUZZ","50005503","BRUGDUMMY Utrecht, Zuiderbrug"
"QBUZZ","50005514","BRUGDUMMY Utrecht, Zuiderbrug"
"QBUZZ","50009101","DUMMYHALTE Utrecht, ."
"QBUZZ","50009120","DUMMYHALTE Utrecht, ."
"QBUZZ","50009132","DUMMYHALTE Utrecht, ."
"QBUZZ","50009972","DUMMYHALTE Utrecht, ."
"QBUZZ","50200971","BRUGDUMMY Zeist, Het Rond"
"QBUZZ","50200972","BRUGDUMMY Zeist, Het Rond"
"QBUZZ","51220002","BRUGDUMMY Nieuwegein, Blauwe Brug"
"QBUZZ","51220004","BRUGDUMMY Nieuwegein, Blauwe Brug"
"QBUZZ","51220006","BRUGDUMMY Nieuwegein, Wiersebrug"
"QBUZZ","51220008","BRUGDUMMY Nieuwegein, Wiersebrug"
"QBUZZ","51220042","BRUGDUMMY Nieuwegein, Doorslagbrug"
"QBUZZ","51220044","BRUGDUMMY Nieuwegein, Doorslagbrug"
"QBUZZ","51220046","BRUGDUMMY Nieuwegein, Wilhelminabrug"
"QBUZZ","51220048","BRUGDUMMY Nieuwegein, Wilhelminabrug"
"QBUZZ","51220102","BRUGDUMMY Nieuwegein, Geinbrug"
"QBUZZ","51220104","BRUGDUMMY Nieuwegein, Geinbrug"
"QBUZZ","51220611","DUMMYHALTE Nieuwegein, ."
"QBUZZ","51349982","BRUGDUMMY Vianen, Lekbrug West"
"QBUZZ","53229900","DUMMY TP lijn 196"
"QBUZZ","59230500","DUMMYHALTE Haarzuilens, ."
"QBUZZ","59230500","DUMMYHALTE Haarzuilens, Kasteel De Haar"
